Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Каденюк,Геннадій,Леонідович,male,1999-09-14,Конструктор,село Соледар,"сквер Стєклова, буд. 12, Глиняни, 83972",172-20-09,konoplialiliia@example.com
Ісаєвич,Макар,Геннадійович,male,1981-12-01,Бізнесмен,хутір Апостолове,"сквер Дорожня, буд. 8, Обухів, 19596",+380 34 952-39-51,symon01@example.org
Юрчишин,Герман,Борисович,male,1963-06-12,Льотчик,селище Борислав,"площа Парусна, буд. 57 кв. 806, Володимир-Волинський, 08981",095 436-00-37,qisaievych@example.com
Яценюк,Охрім,Романович,male,2004-06-28,Графік,місто Докучаєвськ,"вулиця 2-й Академічний тупик, буд. 7 кв. 64, Перевальськ, 57425",+380 88 441-95-63,varfolomii26@example.org
Юрчук,Богодар,Арсенович,male,1989-05-22,Астроном,селище Середина-Буда,"проспект Каретний, буд. 936, Заліщики, 21215",842 00 19,vdovychenkotetiana@example.net
Гузій,Леон,Назарович,male,1977-01-18,Фізик,місто Славутич,"вулиця Саксаганського, буд. 43 кв. 7, Радехів, 48541",075 721 49 59,oryna45@example.net
Смик,Климент,Прохорович,male,1948-05-08,Бібліотекар,місто Бунге ,"площа Волниста, буд. 2 кв. 71, Міусинськ, 14894",+380 00 165-95-04,andreikoveniiamyn@example.org
Михайлюк,Орина,Амвросійовна,female,1978-09-17,Геолог,село Радехів,"провулок Манежна, буд. 291, Черкаси, 23530",+380 40 167-08-80,ielysavetamakarenko@example.com
Цимбалюк,Маруся,Опанасівна,female,1987-05-20,Скульптор,село Радивилів,"провулок Аркадійська, буд. 072, Зеленодольськ, 47283",226 59 00,valentyna00@example.net
Христич,Гаврило,Вадимович,male,1975-01-02,Фольклорист,селище Мала Виска,"узвіз Газова, буд. 86, Первомайський , 77799",836-56-21,volodymyrlazarenko@example.com
Короленко,Трохим,Алевтинович,male,1983-09-18,Реабілітолог,село Білицьке,"парк Надіїі, буд. 720 кв. 889, Кривий Ріг, 96568",091-80-33,zinchenkoliubov@example.com
Ґалаґан,Одарка,Єлисеївна,female,1949-06-29,Сантехнік,селище Радехів,"набережна 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 42 кв. 42, Енергодар, 86701",031 798-01-95,edytahavrysh@example.org
Терещук,Леопольд,Валентинович,male,1977-11-07,М'ясник,селище Новоселиця,"парк Терещенка Володимира, буд. 043 кв. 952, Новомосковськ, 92305",+380 42 722 56 89,venedykt41@example.org
Зінчук,Леонтій,Андрійович,male,1997-04-11,Парфюмер,село Охтирка,"проспект Асташкіна, буд. 338, Новогродівка, 47421",+380 71 167 60 96,viacheslavmykhailiuk@example.org
Фартушняк,Наталія,Орхипівна,female,1941-09-07,Фрілансер,місто Корюківка,"узвіз Дачна, буд. 5 кв. 773, Нововолинськ, 87303",+380 66 653 84 62,rzasenko@example.net
Байда,Камілла,Віталіївна,female,2004-06-08,Історик,місто Волочиськ,"парк Пироговський, буд. 3, Костянтинівка, 11316",+380 (13) 113-62-56,zakhar65@example.org
Артюшенко,Аніта,Марківна,female,1954-05-02,Продюсер,місто Устилуг,"провулок Лобачевського, буд. 42, Очаків, 62037",592 67 90,liudmylashcherbak@example.com
Балабан,Азар,Варфоломійович,male,1953-10-23,М'ясник,село Бучач,"провулок Льва Симиренка, буд. 8, Ірпінь, 76373",289 79 02,jhres@example.org
Скорик,Лесь,Микитович,male,1973-01-25,Детектив,місто Коломия,"провулок Проценка, буд. 3 кв. 47, Богодухів, 98945",+380 89 581 47 05,fastenkodanna@example.net
Дробаха,Єфрем,Павлович,male,1969-09-03,Намотувальник,місто Ірміно,"провулок Садова 2-га, буд. 40, Новоукраїнка, 91450",560-70-41,bhabelko@example.org
Зайченко,Олег,Данилович,male,1989-01-13,Детектив,місто Мелітополь,"проспект Новоселів, буд. 2 кв. 6, Боярка, 88306",+380 06 532-42-99,vbabiuk@example.org
Василашко,Людмила,Іллівна,female,1969-06-24,Машиніст,село Звенигородка,"шосе Джерельна, буд. 584 кв. 31, Ніжин, 68501",012 128-20-53,edavymuka@example.org
Цісик,Сергій,Вʼячеславович,male,2006-10-15,Гірник,місто Броди,"сквер Керченський 3-й, буд. 0, Стебник, 92460",+380 (26) 979-00-82,rostyslav89@example.com
Бандура,Азар,Євгенійович,male,2006-11-06,Живописець,село Куп'янськ,"проспект Кришталевий, буд. 70 кв. 1, Берегове, 77966",+380 (74) 855-68-99,oleh24@example.net
Макогон,Ганна,Марківна,female,1970-01-25,Астрофізик,місто Хрестівка,"набережна Побратимів, буд. 4 кв. 451, Малин, 15704",405 88 05,orlykadam@example.net
Годунок,Лукʼян,Михайлович,male,1941-02-13,Дипломат,місто Славутич,"узвіз Виноградна 3-тя, буд. 3, Гірське, 93759",+380 32 152-19-41,omelian71@example.com
Килимник,Панас,Аврелійович,male,1989-08-03,Географ,селище Іршава,"парк Фонтанська дорога, буд. 55, Голубівка, 05724",+380 62 471-92-71,bezditkokhoma@example.org
Гайдай,Людмила,Несторівна,female,1956-08-17,Геолог,місто Умань,"площа Житомирський 3-й, буд. 6 кв. 3, Феодосія, 86873",436 48 92,volodymyrademydenko@example.com
Андрійчук,Любов,Соломонівна,female,2004-05-27,М'ясник,місто Дніпро ,"сквер Композитора Глинки, буд. 814, Ічня, 39231",+380 50 898 90 97,hennadii80@example.net
Єременко,Опанас,Панасович,male,1970-03-28,Фармацевт,хутір Луганськ,"сквер Донецька, буд. 84, Вашківці, 62680",+380 (47) 417-57-91,svitlananosenko@example.net
Франко,Вʼячеслав,Олесьович,male,1983-09-25,Вчитель,село Василівка ,"узвіз Керченський 2-й, буд. 9, Білицьке, 57384",060 093-60-37,teodorbaida@example.net
Редько,Аарон,Дмитрович,male,1970-12-21,Різноробочий,село Армянськ,"площа Дніпропетровська дорога, буд. 10 кв. 14, Борзна, 74576",062 948 23 27,rakvioletta@example.net
